synon_skill,skill_description,,
Stored Procedures,Stored Procedures are groups of Structured Query Language statements that are stored in a relational database management system so that they can be reused and used by various programmes.,,
Zenoss,"Zenoss is a SaaS-based intelligent IT operations management platform that streams and normalises all machine data, allowing context to emerge for averting service disruptions in complex, modern IT settings.",,
Cloverleaf,Cloverleaf is an Integration Suite software that automates the transmission of clinical data in order to address difficult interoperability issues in a safe and scalable manner while adhering to the most recent standards.,,
Ethical Hacking,Ethical Hacking is a technique for finding flaws in computer systems and computer networks in order to build countermeasures to guard the flaws.,,
F#,"F# is a cross-platform, open source, functional-first programming language designed to solve difficult computing problems with simple, manageable, and resilient code.",,
RSA Archer,"RSA Archer also known as RSA Security LLC, is an American computer and network security company with a focus on encryption and encryption standards",,
iSupplier,iSupplier is an enterprise solution that organises all supplier interactions through a secure internet-based portal.,,
Software Configuration Management,Software Configuration Management is a systems engineering technique that manages and monitors changes to the configuration information of a software system.,,
Solution Architecture,Solution Architecture is the process of defining a system's design in the context of a solution or project.,,
Sqoop,Sqoop is a command-line interface application for transferring data between relational databases and Hadoop.,,
KissMetrics,"Kissmetrics is a web analytics solution that helps businesses get more customers, make smarter decisions and ad boost their bottom line.",,
Magento,"Magento is an open source ecommerce platform with advanced marketing, search engine optimization, and catalogue management features.",,
WordPress,WordPress is a content management system that allows users to create and maintain a website without having any prior coding experience.,,
Oracle iPlanet Web Server,Oracle iPlanet Web Server (OiWS) is a web server designed for medium and large business applications.,,
Fault Insertion,Fault Insertion is a kind of test in which a deliberate fault is introduced in one part of the system to verify that another part reacts appropriately.,,
Shader,Shader is a computer programme that was initially used to shade 3D scenes.,,
Chromatography,"Chromatography is a biophysical technique for qualitative and quantitative analysis that allows for the separation, identification, and purification of the components of a mixture.",,
In Vitro Diagnostics (IVD),"In vitro diagnostics (IVD) are tests done on samples such as blood or tissue that have been taken from the human body to detect diseases or other conditions, and can be used to monitor a person's overall health to help cure, treat, or prevent diseases.",,
Shared Services,Shared Services is the consolidation of business activities that are employed by different areas of the same company.,,
Sandbox,"Sandbox is a type of separated testing environment that allows users to run programmes or data without harming the application, system, or platform.",,
CockroachDB,"CockroachDB is a cloud-native distributed SQL database built for the development, scalability, and management of contemporary, data-intensive applications.",,
KiCAD,KiCad is a software suite for electronic design automation (EDA) that facilitates the design of schematics for electronic circuits and their conversion to PCB designs.,,
Coverity,Coverity is a scalable static analysis tool that assists development and security teams in identifying and addressing security and quality issues early in the software development life cycle.,,
Environmental Monitoring,Environmental Monitoring refers to the procedures and practises that must take place in order to characterise and track the environment's efficiency.,,
Matrix Management,"Matrix Management is an organisational system in which some employees report to several supervisors or leaders, with solid line or dotted line reporting connections.",,
Lithography,Lithography is a method used in IC microfabrication to shape portions of a thin layer of a substrate by transferring a geometric pattern from a photomask to a light-sensitive chemical photoresist on the substrate using light.,,
Optistruct,"Optistruct is a modern structural solver with comprehensive, accurate and scalable solutions for linear and nonlinear analyses across statics and dynamics, vibrations, acoustics, fatigue and Multiphysics disciplines.",,
Open Source Ticket Request System (OTRS),Open source Ticket Request System (OTRS) is an open-source trouble ticket system software package that a business use to assign tickets to incoming questions and monitor subsequent conversations about them.,,
Silverpop,"Silverpop is a cloud based tool that provides automated email, campaign tracking and lead management.",,
Vulnerability Scanning,Vulnerability Scanning is the process of using vulnerability scanners to check each system in the network for any vulnerabilities according to a list of existing vulnerabilities.,,
Zeplin,"Zeplin is a tool which takes designs from sketch, Adobe XD, photoshop and exports them into a format which can easily generate code snippets, style guides.",,
Argus modeling,"Argus modeling is software that breaks down the financials of a commercial real estate lease over time, allowing users to examine new commercial real estate opportunities without having to develop an Excel model.",,
Hardware Configuration,Hardware configuration refers to the system resource settings assigned to a specific device where the system hardware can be optimized by adjusting configurations based on the requirements.,,
InstallShield,InstallShield is a programme that automatically looks for and installs software updates without requiring any user involvement.,,
Microsoft Excel,Microsoft Excel is a spreadsheet-based software application that organises numbers and data using formulae and functions.,,
TestNG,"TestNG is a testing framework designed to simplify a broad range of testing needs, from unit testing to integration testing.",,
Lucene,Lucene is a Java-based search and indexing platform that provides a full-text search engine software library.,,
Sourcefire,Sourcefire is an intrusion prevention system which helps to fight the threats to the network.,,
Virtual Tape Library (VTL),"Virtual Tape Library (VTL) is a data backup and recovery system that employs tape libraries or tape drives, as well as existing backup software.",,
Business Impact Analysis,Business impact analysis predicts the consequences of disruption of a business function and process and gathers information needed to develop recovery strategies.,,
Network Security,"Network Security is the set of rules and configurations designed to protect the integrity, confidentiality and accessibility of computer networks and data",,
Reinsurance,Reinsurance is the process of insurers transferring portions of their risk portfolios to other parties through some kind of agreement in order to decrease the chance of having to pay a substantial obligation arising from an insurance claim.,,
Augmented Reality,Augmented reality is an interactive experience of a real-world environment where the objects that reside in the real world are enhanced by computer-generated perceptual information.,,
Histopathology,Histopathology is the diagnosis and study of diseases of the tissues and involves examining tissues and/or cells under a microscope.,,
Solution Delivery,"Solution Delivery is the capacity to design, create, verify, and deploy IT solutions that answer the business requirements and opportunities of the enterprise.",,
OrCAD Capture CIS,"OrCAD Capture CIS is a schematic capture application, and part of the OrCAD circuit design suite.",,
RestEasy,RestEasy is a JBoss/Red Hat project that offers a number of frameworks for building RESTful Web Services and RESTful Java applications.,,
Toxicology,"Toxicology is a scientific discipline overlapping with biology, chemistry, pharmacology and medicine, which involves studying the adverse effects of chemical substances on living organisms and the practice of diagnosing and treating exposures to toxins and toxicants.",,
Uniface,Uniface is a corporate application development and deployment platform that may run in a variety of runtime environments.,,
Cold Calling,Cold Calling is a sales tactic in which salespeople approach consumers who have not previously demonstrated interest in the items or services they are selling.,,
Reverse Engineering,"Reverse Engineering is a method of determining a physical object's attributes by a thorough examination of its structure, functions, and activities.",,
RSA SecurID,"RSA SecurID is a two-factor authentication technology used to protect network resources based on two factors, a password and an authenticator.",,
Load Balancing,Load Balancing is the process of distributing a set of tasks over a set of resources (computing units) to make their overall processing more efficient.,,
Failure Reporting,"Failure Reporting is used to properly report all failures and problems linked to a system, piece of equipment, or process.",,
SonarQube,"SonarQube is an open-source tool for continuous code quality inspection that uses static code analysis to identify errors, code smells, and security flaws in some programming languages.",,
Splunk Enterprise Security,"Splunk Enterprise Security is a security information and event management system that allows security teams to swiftly identify and respond to internal and external threats, simplify threat management while lowering risk, and protect a company.",,
SunOS,SunOS is a UNIX-based operating system for Sun Microsystems' Scalable Processor Architecture-based workstations and servers.,,
Tecplot,Tecplot is the name of a family of visualization & analysis software tools developed by Tecplot.,,
Acronis,Acronis is a software package that seeks to protect the system from ransomware and allows users to backup and recover data or complete systems from a backup archive made with the software.,,
4G,4G is the cellular communication that offers speed that are about 10 times faster than they are on current third-generation networks.,,
Kernel,Kernel is a computer software that runs at the heart of a computer's operating system and has total control over the whole system.,,
Criticality Analysis,Criticality Analysis is the process of giving a criticality rating to assets based on their potential risk.,,
International Business,"International business refers to the trade of goods, services, technology, capital and/or knowledge across national borders and at a global or transnational scale.",,
IT Compliance,IT Compliance is the process of fulfilling the criteria of a third party in order to enable company activities in a certain market.,,
IT Infrastructure Management,"IT Infrastructure Management include the administration of IT rules and processes, as well as the equipment, data, human resources, and external connections (such as suppliers or security groups) required to keep IT operations running smoothly and effectively.",,
SmarTeam,SmarTeam is a corporate collaboration tool that enables manufacturers to collaborate and exchange product data across the company and supply chain.,,
Operational Planning,Operational Planning is a detailed and practical plan that outlines how the tasks and actions of a department contribute to the organization's overall business goals.,,
Equipment Management,Equipment Management is a continual assessment of the construction equipment fleet and its costs while taking into account the current projects.,,
Microcontrollers,Microcontrollers is a miniature device that fits on a single metal-oxide-semiconductor integrated circuit chip.,,
Rational Team Concert,Rational Team Concert is a multi-platform team collaboration solution centred on Jazz and Eclipse that provides developers with critical capabilities for managing agile application lifecycles.,,
TPump,"TPump stands for Teradata Parallel Data Pump, it is a database that loads rows one by one utilising row hash locks.",,
Access Control,Access Control is a security method that governs who or what may see or utilise resources in a computing environment.,,
Probability Theory,Probability Theory is the mathematical framework that enables us to evaluate random events logically.,,
ArcSDE,"ArcSDE is a software that allows ArcGIS apps to store, manage, and retrieve data from a relational database management system.",,
Beyond Compare,"Beyond Compare is a multi-platform data comparison utility application that integrates directory compare and file compare capabilities into a single package, allowing users to merge changes, synchronise files, and produce reports for record keeping.",,
Simplis,"Simplis stands for  Simulation of Piecewise Linear Systems, it is a circuit simulator specifically designed to handle the simulation challenges of switching power systems.",,
Metabolomics,Metabolomics is a technique for measuring and comparing a large number of metabolites found in biological samples.,,
Machine Tools,"Machine toolrefers to themachinefor handling ormachiningmetal or other rigid materials, usually by cutting,boring,grinding, shearing, or other forms of deformation.",,
SAP Correction and Transport System,"SAP Correction and Transport System is a vehicle that allows SAP to transport items from one system to another, such as programmes, screens, configurations, and security settings.",,
OpenMP,OpenMP is an application programming interface  that supports multi-platform shared-memory multiprocessing programming on many platforms,,
Protel,"Protel stands for Procedure Oriented Type Enforcing Language, it is a telecoms switching system programming language.",,
Cacti,Cacti is an open-source network and server monitoring tool with a graphical user interface for data visualisation.,,
CentOS,"CentOS is a Linux distribution that provides a community-supported computing platform functionally compatible with its upstream source, Red Hat Enterprise Linux.",,
Threat Detection,Threat detection is the method of analyzing the entirety of a security ecosystem to identify any harmful activity that could effect the network.,,
Drug Discovery,Drug discovery is the process of identifying possible new medications.,,
Genomics,"Genomics is a branch of biology that focuses on the structure, function, evolution, mapping, and modification of genomes.",,
Design Verification,"Design Verification is an essential step in the development of any product, it ensures that the product is designed as intended.",,
Cash Flow Management,"Cash Flow Management is the process of tracking the inflow and outflow of money in a business, it also helps in identifying financial problems and helps in making financial decisions.",,
SAP PI,"SAP PI is enterprise application integration software, which is designed to ease information interchange between a company's internal software and systems and those of third-party vendors.",,
Circuit Design,Circuit Design Process covers the design of all the electronic system ranging from complex electronic design to individual transistors following a systematic approach.,,
Natero,Natero is the customer success platform to merge machine learning for predicting behavior and big data analytics for deep customer insights.,,
Outside Sales,"Outside Sales is the sale of goods and services through in-person, face-to-face encounters.",,
Cloud Administration,Cloud Administration is the management of cloud infrastructure services and multiple cloud servers.,,
Biostatistics,"Biostatistics is the statistical process encompassing design of biological experiments, collection and analysis of data from those experiments and interpretation of the results.",,
Blockchain,"Blockchain is a digital, public ledger that records online transactions.",,
Customer Lifecycle Management,"Customer lifecycle management is the assessment of several customer-related variables that, when studied over time, show a company's success.",,
Demandware,"Demandware is a software technology which provides a cloud-based e-commerce platform with mobile, AI personalization etc, for B2B and B2C retailers.",,
Floor Plan,"floor plan is a drawing with scale sizes that display the positions of rooms, equipment, and furniture viewed the top down.",,
Heat Treatment Testing,Heat Treatment Testing is the process of raising the material's temperature to a certain point to change the structure and composition of a material.,,
JMock,JMock is a Java library that supports test-driven development of Java code that explicitly specifies the mocks' behavior using a specialized domain-specific language.,,
Generators,Generators are the electronic devices that generates repeating or non-repeating electronic signals,,
Sales Planning,"Sales Planning is an effective strategy that includes sales forecasting, demand management, defining profit-based sales objectives, and writing down the processes of a sales plan's implementation.",,
Business Strategy,Business Strategy can be defined as the combination of all the decisions taken and actions performed by the business to accomplish business goals and to secure a competitive position in the market.,,
KornShell (KSH),KornShell (KSH) is a Unix Shell command execution program.,,
Switches,"Switches are networking devices which connect devices in a network to send, receive or forward data frames over the network.",,
SAP Security Administration,"SAP Security Administration is a field that combines several distinct elements of cyber security, ranging from access control to application-level security to data protection.",,
Fargate,Fargate is a technology that can be used with Amazon ECS to run containers without having to manage servers or clusters of Amazon EC2 instances.,,
Competition Law,"Competition law promotes or seeks to maintain market competition by regulating anti-competitive conduct by companies, implemented through public and private enforcement.",,
Freemarker,"FreeMarker is a Java-based template engine focusing on dynamic web page generation with MVC software architecturet , it is used for generating source code and configuration files or e-mails.",,
Network Virtualization,Network Visualization is the method of visually representing networks of related elements as connections and nodes.,,
MxML,"MxML stands for Macromedia Flex Markup Language, it is an XML-based user interface markup language that, in conjunction with actionscript, enables the creation of Flash applications.",,
Proposal Management,Proposal management is the process of overseeing and facilitating the completion of a proposal.,,
Product Research,Product Research is the process of providing the greatest possible product to meet the needs of the consumer.,,
Resource Allocation,Resource allocation is the process in which a company decides where to allocate scarce resources to produce goods or services.,,
Retek,"Retek is a suite of Oracle products for the retail industry for managing merchandising, inventory management and inventory planning.",,
SAPUI5,"SAPUI5 is the interface for HTML 5, it is a collection of libraries which can be used to build desktop and mobile application that run in a browser.",,
Medical Coding,"Medical Coding is the transformation of healthcare diagnosis, procedures, medical services and equipment into universal medical alphanumeric codes.",,
DxDesigner,"DxDesigner is a software that provides a scalable, multi-user design definition environment using schematics or interconnect tables that integrate with Expedition Enterprise (EE) layout tools across multiple computing platforms.",,
Gene Expression,Gene expression is the process by which the information encoded in a gene is used to direct the assembly of a protein molecule.,,
GoToMeeting,"GoToMeeting is an online meeting, desktop sharing and video conferencing software package that enables the user to meet with other computer users, customers, clients or colleagues via internet in real time.",,
LeanFT,LeanFT is an automated functional testing tool for continuous testing.,,
Ubuntu,Ubuntu is an operating system which is a Linux distribution based on Debian and mostly composed of free and open-source software.,,
MapInfo,"MapInfo is a desktop geographic information system software product used for mapping and location analysis, it allows users to visualize, analyze, edit, interpret, understand and output data to reveal relationships, patterns and trends also it allows users to explore spatial data within a dataset, symbolize features and create maps.",,
Pattern Recognition,"Pattern Recognition is the process of recognizing patterns by using machine learning algorithm, it classifies data based on knowledge already gained or on statistical information extracted from patterns and their representation.",,
Photonics,Photonics is the technology of generating and harnessing light and other forms of radiant energy whose quantum unit is the photon.,,
Graphics,"Graphics are visual images or designs on some surface, such as a wall, canvas, screen.",,
FactSet,FactSet is one of many companies that provide essential data and information to analsyts and investors who want to know more about markets and instruments.,,
Marketing,"Marketing refers to the actions that a firm engages in to promote the purchase or sale of a product or service. It includes advertising, selling, and delivering products to consumers or other businesses.",,
RightNow,RightNow is a customer relationship management software and knowledge base that offers customer support tools over the web and on-campus resource centres.,,
Job Wrapping,Job wrapping is a term used commonly to describe a process by which jobs can be captured from employer website and posted to the job boards that the employer wants to advertise them.,,
ISO 9000,ISO 9000 is a set of standards that helps organizations ensure they meet customer and other stakeholder needs within statutory and regulatory requirements related to a product or service.,,
Pharmaceutical Research,"Pharmacy research is a specialty field within the wider area of health services research, which focuses on examining how and why people access pharmacy services",,
WildFly,Wildfly is a open-source application server written in Java that supports the Java EE specification.,,
AJAX,"AJAX stands for Asynchronous JavaScript and XML, it is a set of web development techniques using many web technologies on the client side to create asynchronous web applications.",,
Building Services,"Building services are systems that are installed a building to meet requirements of residents who live and work there, which makes dwelling more efficient, safe, functional and comfortable.",,
Content Rights Management,"Content Rights Management is a method of copyright protection for digital media that is systemic. Companies may use content rights management tools to develop, search, and use content when they need it.",,
Mathematica,"Mathematica is a symbolic mathematical computation program spanning most areas of technical computing including machine learning, image processing, geometry and data science.",,
Economics Quantitative,Economics Quantitativeis apeer-reviewedopen accessacademic journalcoveringeconometrics.,,
Process Design,"Process Design is the act of translating an organization's vision, objectives, and available resources into a discernible, measurable means of achieving the organization's vision.",,
Concept Art,"Concept Art is a form of illustration used to convey an idea for use in films, video games, animation, comic books, or other media before it is put into the final product.",,
Revenue Recognition,Revenue recognition is a generally accepted accounting principle  that identifies the specific conditions in which revenue is recognized and determines how to account for it.,,
Wireless Protocols,Wireless Protocol is a system of rules which allows two or more entities of a communication systems to transmit information via a wireless network.,,
Storyboarding,"Storyboarding is a series of drawings used to pre-visualize a movie's shots. It is an important tool for the director to use in order to get a sense of how the film will look and feel, and it is also used to determine camera angles.",,
VeriFIX,VeriFIX is the most comprehensive electronic trading regression and performance testing system available in the marketplace today.,,
Business Systems Analysis,Business Systems Analysis is the surveying and evaluation of different processes and systems in a business.,,
Emptoris,Emptoris is a developer and provider of strategic supply and contract management software.,,
Sublime Text,Sublime Text is a shareware cross-platform source code editor with a Python application programming interface .,,
StatsD,"StatsD is a standard and, by extension, a set of tools that can be used to send, collect, and aggregate custom metrics from any application.",,
Staff Development,"Staff development refers to all the policies, practices, and procedures used to develop the knowledge, skills, and competencies of staff to improve the effectiveness and efficiency both of the individual and the University.",,
Oracle Virtual Directory (OVD),Oracle Virtual Directory (OVD) is a lightweight directory access protocol service that delivers a unified view of business directory servers and databases from various manufacturers. It can serve as a single source of truth in an environment with multiple data sources.,,
Management Consulting,Management consulting is the practice of helping organizations to improve their performance.,,
Thermal Structural Analysis,Thermal structural analysis is the application of the finite element method to calculate the temperature distribution within a solid structure.,,
Microbiology,"Microbiology is the study of microorganisms, those being unicellular, multicellular, or acellular. It encompasses numerous sub-disciplines including virology, bacteriology, protistology, mycology, immunology and parasitology.",,
TrackWise,TrackWise is an on-premises quality management system application.,,
Machining,Machining is any of various processes in which a piece of raw material is cut into a desired final shape.,,
Apache Web Server,"Apache Web Server is an open-source web server creation, deployment and management software.",,
Thermal Imaging,Thermal imaging is a method of night vision that collects the infrared radiation from objects in the scene and creates an electronic image.,,
IRAF,IRAF (Image Reduction and Analysis Facility) is a collection of software written at the National Optical Astronomy Observatory (NOAO) geared towards the reduction of astronomical images in pixel array form.,,
Jama,"Jama is a software which has faster and better requirements definition, verification and validation, from the point of inception to production.",,
Sonus,Sonus Networks is a global leader in secure and intelligent cloud communications.,,
Project Documentation,Project documentation is used to define the way we manage projects and the governance surrounding them.,,
Sysprep,Sysprep is Microsoft's System Preparation Tool for Microsoft Windows operating system deployment.,,
Legal Advice,Legal advise refers to the skill of giving a professional opinion regarding a situation based on the applicable law.,,
Unreal Engine,Unreal Engine is a free-to-use game development engine owned by Epic Games.,,
Vaadin,Vaadin is an open-source platform for web application development.,,
Test Cases,"Test case is a specification of the inputs, execution conditions, testing procedure and expected results that define a single test to be executed to achieve a particular software testing objective",,
CA Gen,CA Gen is a computer aided software engineering application in a development environment marketed by CA Technologies.,,
Verilog,"Verilog is a hardware description language used to describe a digital system such as a network switch, microprocessor, memory, or flipflop.",,
Functional Programming,Functional programmingis aprogramming paradigmwhere programs are constructed byapplyingandcomposingfunctions. It is adeclarative programmingparadigm in which function definitions aretreesofexpressionsthat each return avalue.,,
Theory of Constraints,The theory of constraints  is a management paradigm that views any manageable system as being limited in achieving more of its goals by a very small number of constraints. It uses a focusing process to identify the constraint and restructure the rest of the organization around it.,,
RavenDB,RavenDB is an open source document-oriented NoSQL designed especially for the .NET/Windows platform. It requires commercial licensing and supports multiple databases,,
Sysomos,"Sysomos Inc. is a Toronto-based social media analytics company owned by Outside Insight market leaders Meltwater.The company also offers Sysomos Heartbeat which provides social media monitoring and engagement capabilities to communication professionals, brand managers and customer support groups",,
Consultative Selling,"Consultative selling is a sales approach that prioritizes relationships and open dialogue to identify and provide solutions to a customers needs. It is hyper focused on the customer, rather than the product being sold",,
Business Case Development,Business Case Development refers to obtaining management commitment and approval for investment in business change including programmes and projects.,,
Vectorworks,"Vectorworks is an application that provides extensive 2D drafting, 3D modeling, BIM and rendering capabilities for the architectural and landscape design needs.",,
Project Implementation,Project Implementation is a specified set of activities designed to put into practice an activity or program of known dimensions.,,
Software Documentation,Software Documentation is written text or illustration that accompanies computer software or is embedded in the source code.,,
Storage Management,Storage Management is a tool and methods increase the performance of data storage resources.,,
OpenGL,OpenGL  is the computer industry's standard application program interface for defining 2d and 3d graphic images.,,
ANSYS Parametric Design Language (APDL),ANSYS Parametric Design Language (APDL) is a scripting language which allows users to parameterize models and automate common tasks.,,
Sonar,"Sonar stands for sound navigation ranging, it is a technique that uses sound propagation to navigate, communicate with or detect objects on or under the surface of the water, such as other vessels",,
Arcserve,"Arcserve is a provider of data protection, replication and recovery solutions for enterprise and mid-market businesses.",,
CANFD,"CAN FD stands for Controller Area Network Flexible Data-Rate, it is a data-communication protocol typically used for broadcasting sensor data and control information on 2 wire interconnections between different parts of electronic instrumentation and control system.",,
Contract Review,"Contract review is a thinking process-a rational analysis. This process includes: clarifying of contract related facts, measure of the feasibility of contract, and forecast of contract risks.",,
Jabber,"Jabber is a software that delivers instant messaging, voice and video calls, voice messaging, desktop sharing, conferencing, and presence.",,
License Management,License management is the process of monitoring and maintaining all of the organization's software.,,
ReSharper,ReSharper is a renowned productivity tool that transforms Microsoft Visual Studio into a much superior IDE.,,
Objectdb,ObjectDB is a cross platform software and can be used on various operating systems with Java SE 5 or higher. It can be integrated into Java EE and Spring web applications and deployed on servlet containers  as well as on Java EE application servers.,,
RS232,RS232 is a standard protocol used for serial communication i.e. for connecting computer and its peripheral devices to allow serial data exchange between them.,,
XQuery,"XQuery  is a query and functional programming language that queries and transforms collections of structured and unstructured data, usually in the form of XML, text and with vendor-specific extensions for other data formats",,
Disk Management,Disk Management is a Windows system programme that allows to execute complex storage functions.,,
Project Portfolio Management,"Project Portfolio Management is the centralized management of the methods, and technologies used by project managers and project management offices to analyze and manage the proposed projects based on numerous key characteristics.",,
FastExport,FastExport refers to a set of commands and Teradata SQL statements that select and export data from Teradata Database.,,
Open Directory,Open Directory is a service identity provider that has human-maintained directory of websites.,,
Jackrabbit,"Jackrabbit is an open source content repository created by Apache, that implements the content repository for Java API, a scalable hierarchical content repository for the modern web sites and other content applications.",,
Jenkins,"Jenkins is a open source automation server, helps automate the parts of software development related to building, testing and deploying, facilitating continuous integration and continuous delivery.",,
QlikView,QlikView is an analytical solution that develops and delivers interactive guided analytics applications and dashboards.,,
Symfony,Symfony is web-framework that has a set of PHP components and web-application framework - all together working in harmony for designing web-pages.,,
Test Planning,"Test Planning is the planning the activities that must be performed during testing in order to achieve the objectives of the test, it begins at the starting of that levels testing process and goes on upto the end of closing activities of the level.",,
Text Mining,"Text Mining is the process of transforming unstructured text data into meaningful and actionable information, it utilizes different AI technologies to automatically process data and generate valuable insights, enabling companies to make data-driven decisions.",,
Autosys,"Autosys is a job-scheduling software that allows you to define events, dependencies, time schedules, alerts etc, making it a complete data center automation tool.",,
CMake,"Cmake is an open-source platform that controls software compilation process to test, build and package software.",,
Crowdsourcing,"Crowdsourcing is a sourcing model used to obtain goods & services, getting feedbacks, data and information about a certain topic from a large group of people via Internet, social media smartphones.",,
Fieldglass,Fieldglass is a software providing cloud-based Vendor Management System (VMS) for the management of services procured and external workforce programs.,,
High Content Imaging,High-content imaging is a technique that can link compound effects to physiological and morphological cellular changes in a robust and quantitative manner.,,
Smalltalk,"Smalltalk is an object-oriented, dynamically typed reflective programming language.",,
Quality System,"Quality System is a process thatensures an organization, product or service is consistent, it has four main components that is quality planning,quality assurance,quality controlandquality improvement",,
Sales Presentations,Sales presentation is the concerned talk which attempts to persuade something or someone to initiate and close a required sale of the service or product.,,
PHP,"PHP is a server-side scripting language that is used to create static, dynamic, and web-based applications.",,
Nagios,"Nagios is an open source monitoring system for computer systems, designed to run on the Linux operating system and can monitor devices running Linux, Windows and Unix operating systems",,
SAP PM module,SAP Plant Maintenance (SAP PM) is a software product that manages all maintenance activities in an organization.,,
Oracle Risk Management,Oracle Risk Management is a module within Oracle ERP Cloud to manage risks and meet compliance and privacy mandates.,,
Siemens NX,Siemens NX software is a flexible and powerful integrated solution that helps you deliver better products faster and more efficiently.,,
Test Management,Test management tool is software used to manage tests that have been previously specified by a test procedure.,,
Test Scripts,Test Script is a script module that contains instructions fed into a system for testing purposes.,,
Encryption,Encryption is the process of encoding information and converts the original representation of the information into an alternative form.,,
Simio,Simio is a unique multi-paradigm modeling tool that combines the simplicity of objects with the flexibility of processes to provide a rapid modeling capability without requiring programming.,,
PeopleCode,PeopleCode is a proprietary object-oriented programming language used to express business logic for PeopleSoft applications.,,
Thymeleaf,Thymeleaf is a Java XML/XHTML/HTML5 template engine that can work both in web  and non-web environments.,,
XAMPP,"XAMPP is an abbreviation for cross-platform, Apache, MySQL, PHP and Perl, and it allows you to build WordPress site offline, on a local web server on your computer.",,
SONET,Synchronous optical networking (SONET) are standardized protocols that transfer multiple digital bit streams synchronously over optical fiber using lasers or highly coherent light from light-emitting diodes.,,
Hootsuite,Hootsuite is a social media management system that gives users an integrated user interface from which to manage their social interactions,,
EIGRP,Enhanced Interior Gateway Routing Protocol (EIGRP) is an advanced distance-vector routing protocol that is used on a computer network for automating routing decisions and configuration.,,
Marketing Analytics,Marketing analytics is the practice of managing and studying metrics data,,
Network Hardware,Network hardware is the individual components of a network system that are responsible for transmitting data and facilitating the operations of a computer network,,
OPNET,OPNET Technologies was a software business that provided performance management for computer networks and applications,,
PyDev,"PyDev is an Integrated Development Environment (IDE) used for programming in Python supporting code refactoring, graphical debugging, code analysis among other features.",,
Survival Analysis,Survival analysis is a branch of statistics for analyzing the expected duration of time until one or more events happen,,
Tax Reporting,"Tax Reporting is the process of reconciling an entity's or individual's earned income with the amount of tax owed to the government, government agencies, or potential taxpayers.",,
Wrike,"Wrike is a privately held project management application service provider based in San Jose, California.",,
Contingency Plan,Contingency plan is a plan devised for an outcome other than predicted from the usual plan.,,
Six Sigma,Six Sigma is a methodology that gives businesses the resources they need to develop their business processes.,,
Balsamiq,Balsamiq Wireframes is a graphical user interface website wireframe builder application.,,
Government Relations,"Government relations is the process of influencing public policy at all levels of governance that is local, regional, national and even global. It aims to persuade government officials to change or maintain policy to more effectively fit the needs of a particular group.",,
Reliability Analysis,Reliability analysis is the study of the properties of measurement scales and the items that compose them. It calculates commonly used measures of scale reliability and also provides information about the relationships between individual items in the scale.,,
Data Interpretation,Data interpretation is the process of reviewing data and assigning it some meaning to arrive at a meaningful conclusion.,,
Costpoint,"Costpoint is a tool intended to carry out manufacturing, accounting and other tasks to keep businesses afloat.",,
Data Guard,Data Guard is a configuration that consists of one production database and one or more standby databases.,,
Deployment Automation,Deployment Automation is the method of provisioning application objects and configurations to operating environments during the system development lifecycle.,,
Device Drivers,Device Drivers is a computer program that operates or controls a particular type of device that is attached to a computer,,
Document Management,"Document management is the process of storing, locating, updating, and sharing data for the purpose of workflow progression and business outcomes",,
Markov model,Markov model is a stochastic model used to model randomly changing systems.,,
Manugistics,"Manugistics was a company that developed and marketed software applications, principally for resource planning and supply chain management.",,
Economic Research,Economic research is important for implementing more sound economic policies that promote steady and non-inflationary growth while also dealing with the risks that come with a complex and rapid integration of economies.,,
Geographical Data Analysis,Geographical Data analysis is involves the various thinking processes. It is sometimes difficult to separate the processes involved in organizing geographic information from the procedures.,,
Qualtrics,"Qualtrics is an experience management company, it offers a subscription software platform.",,
Cytogenetic,"Cytogenetics is a branch of genetics, it is concerned with how the chromosomes relate to cell behaviour, particularly to their behaviour during mitosis and meiosis",,
Drug Substance Manufacturing,Drug Substance Manufacturing is the process of indutrial scale synthesis of Pharmaceutical drugs.,,
Lotus Notes,"Lotus Notes is now known as HCL notes, a platform for Email communication, contact management, file sharing.",,
SAS/Assist,"SAS/ASSIST stands for Statistical Analysis System, it is a user-friendly front-end software to the SAS System. which can be customized to suit the needs of the user and the environment of the work to be accomplished.",,
SKU Management,"SKU management stands for Stock keeping unit, is the process of creating, maintaining and optimizing and alphanumeric SKU system to effectively identify and organize the inventory.",,
iBwave design,iBwave design is an industry standard software platform for wireless cellular and Wi?Fi network planning & design.,,
Social Media Marketing,"Social media marketing is the action of creating content to promote the business and products on various social media platforms such as Facebook, Instagram and Twitter.",,
System Monitoring,"System monitoring is checking the operation of devices and applications across the IT infrastructure, including measuring traffic and activity between different network components.",,
Channel Sales,Channel sales is the process of distributing a product to the market by segmenting sales operations to focus on different selling vessels.,,
Lipidomics,"Lipidomics is the study of the structure and function of the complete set of lipids produced in a given cell or organism and their interactions with other lipids, proteins and metabolites.",,
Seismic Interpretation,Seismic Interpretation is the science of inferring the geology at depth from the processed seismic record,,
Thunderhead,Thunderhead is a customer interaction software that improves customers experience across numerous channels and platforms.,,
Clinical Manufacturing,"Clinical Manufacturing is an offer specialized services in clinical trial supply management using a global network of assets, experience and expertise in streamlining the clinical trial packaging and supply process.",,
Directory Services,Directory service is a customizable information store that functions as a single point from which users can locate resources and services distributed throughout the network.,,
